S20902020014 05262978170711250911140239128128          0526297817                                                               
D201202509110497842   0114987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001057000001057000012322804  50325        
D201202509110497884   0114987081107803ËÞÑÊßÂÄÄÞ×²¼ÛÂÌß10%        10%      100G00003000034213000102639000391002712  421677       
D201202509110497884   0214987700000348ÌÞØ²ËÞ±¸Ä¼ÞÖ³50MG     50MG PTP      100T00002000053729000107458000609302706  409979       
D201202509110497884   0314987060307156ÓÝÃÙ¶½Ä¼ÞÖ³10MG¢KM£   10MG PTP       28T00001000000913000000913000010252710  Z003584      
D201202509110497928   0114987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00001000000869000000869000010402709  97T03        
D201202509110497928   0214987084313997ËßÚÉ·¼Ý¹ÝÀÞ¸¾²ÃÝ¶ÞÝ´    0.005%  5MLX10ÎÝ00001000000588000000588000006702805  KRU1235      
D201202509110497928   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001057000002114000012322804  50325        
E200000090000072509111402                                                                                                       
S20902020014 05262978172933250912050243128128          0526297817                                                               
D201202509120495886   0114987042109020´Ì²ÅºÅ¿Þ-ÙÂÒ¶Þ²Ö³´·1       10%   3.56GX500001000010928000010928000120382802  C51010       
D201202509120498984   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000872000000872000010402712  K005         
D201202509120498985   0114987080038016¹ÄÁÌ´ÝÃÝËÞ´·0.05%¢»Ü   6.048MG  8MLX10ÎÝ00001000002098000002098000023102711  X24Y02       
D201202509120498985   0214987138801241ÂÑ×012»²º¶ØÕ³ºÂÎÞÚ²Ä      (12) 2.5GX3X1400001000001937000001937000021322807  Y22552       
E200000060000042509120502                                                                                                       
S20901660013 05262978170000250911220719128128          0526297817                                                               
D2012025091233224     0114987476113310Ä×È·»Ñ»Ý ¼ÞÖ³ 250MG   PTP  250MG    100T00001000000945000000945000010402803  Y25D33       
D2012025091233224     0214987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00001000000869000000869000010102709  H60419       
D2012025091233225     0114987042109020´Ì²ÅºÅ¿Þ-Ù ÂÒ¶Þ²Ö³´·        3.56G(4ML)X500001000010725000010725000120382802  C51010       
D2012025091233226     0114987058565032ÌÙÆÄ×¾ÞÊßÑ ¼ÞÖ³ 1MG   PTP    1MG    100T00001000000518000000518000005902803  2457         
D2012025091233881     0114987080515074Ìß×ÝÙ¶½Ä ¶Ìß¾Ù 112.5 PTP 112.5MG  14PX1000001000002977000002977000032762802  425102       
D2012025091233881     0214987190007292Ì½À¿Þ-Ù Ä³²¼ÞÖ³ 10MG  PTP   10MG   1000T00001000005540000005540000061002912  K161B        
D2012025091233881     0314987925113625Ú½ÌßÚÝ ¼ÞÖ³ 30MG      PTP   30MG    500T00001000004135000004135000045503002  25B080G      
D2012025091233881     0414987916002211ÀÑ½Û¼Ý´Ý»Ý´Ý OD ¼ÞÖ³¼Þ£ PTP 0.2MG 14TX1000001000001863000001863000021002801  01407        
D2012025091233881     0514987916002211ÀÑ½Û¼Ý´Ý»Ý´Ý OD ¼ÞÖ³¼Þ£ PTP 0.2MG 14TX1000002000001863000003726000021002801  01407        
D2012025091233881     0614987858200041±½ÄÐÝ ¼ÞÖ³ 10MG       PTP   10MG   1000T00001000006180000006180000068002706  HA03R01      
E200000120000102509112207                                                                                                       
