S20902020014 05262978173526250609050236128128          0526297817                                                               
D201202506090250804   0114987080001416ÃµÌ²ØÝ¼ÞÖÎ³¼ÞÖ³100MG 100MG PTP      100T00001000000536000000536000005902709  724Y01       
D201202506090250804   0214987081105519Û·¿ÆÝ¹ÞÙ1%                  1%    25GX1000001000000591000000591000006502711  NSN1929      
D201202506090250804   0314987081186754Ã×ÑÛÊ²ºÞ³¼ÞÖ³AP¢DSEP       PTP      100T00001000001945000001945000021402703  489056       
D201202506090251173   0114987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001673000001673000018402710  D0014        
D201202506090251173   0214987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500004000001081000004324000000003001  RS7B01B-1    
D201202506090251174   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002351000004702000025862610  RT6GK95      
D201202506090251174   0214987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00003000003036000009108000033402611  PP5N241      
D201202506090251516   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000002000001120000002240000012322703  5E12SL       
D201202506090252193   0114987081187171µÙÒ»ÙÀÝOD¼ÞÖ³20MG¢DS  20MG PTP      100T00001000001636000001636000018002708  OMA4082      
D201202506090252193   0214987286105628¼ÞÕ³¼Â»Ý¶Ï¸ÞÈ¼³Ñ¢¹Ý´ »²ØÕ³¼ÞÖ³      500G00001000000709000000709000007802801  5E03         
D201202506090252193   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602706  24072Y1      
D201202506090252193   0414987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000003001  RS7B01B-1    
D201202506090252194   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00004000004998000019992000054982611  D848172AA    
D201202506090252195   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00003000003036000009108000033402611  PP5N241      
D201202506090252214   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000003001  RS7B01B-1    
E200000170000152506090502                                                                                                       
S20901660013 05262978170000250607185649128128          0526297817                                                               
D2012025060918649     0114987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00001000000900000000900000010102707  H40279       
D2012025060918649     0214987376357111Á»ÞÆ¼ÞÝ ¼ÞÖ³ 1MG ¢ÆÁ  PTP    1MG    100T00001000000544000000544000006102712  J01100       
D2012025060918649     0314987081189960Û·¿ÌßÛÌ´Ý NA Ã-Ìß 10  10CMX14CM   7Ï²X1000001000001098000001098000012322802  30525        
D2012025060919502     0114987901128605±ÑÛ¼ÞËßÝ ¼ÞÖ³ 5MG ¢V  PTP    5MG    100T00001000000927000000927000010402806  LP8865       
D2012025060919502     0214987081186907Û½ÊÞ½ÀÁÝ ¼ÞÖ³ 2.5MG   PTP  2.5MG    100T00001000000945000000945000010402706  88840        
D2012025060919502     0314987306054295¸×Ø½ÛÏ²¼Ý ¼ÞÖ³ 200MG  PTP  200MG    100T00001000002254000002254000025302801  065N1        
D2012025060919502     0414987185809900¼ÞÔÇËÞ± ¼ÞÖ³ 50MG (¶  PTP   50MG    100T00001000007315000007315000082102608  Z004557      
D2012025060919502     0514987376056212ÄºÌ´Û-ÙÆºÁÝ»Ý´½ÃÙ ¶Ì¢ÆÁ²º³£  PTP    100P00001000000681000000681000007502711  KP1401       
D2012025060919502     0614987306066212ËÞµÌ´ÙÐÝ ¼ÞÖ³»Þ²      PTP         21TX3000001000003312000003312000037172804  365N1        
D2012025060919502     0714987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý ¶Ìß¾Ù   PTP    1MG    100P00001000000548000000548000006102801  125203       
D2012025060919502     0814987190020338´¿ÒÌß×¿Þ-Ù ¶Ìß¾Ù 20M  PTP   20MG    100P00001000003368000003368000037802612  13040        
D2012025060919503     0114987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00002000000926000001852000010402709  KK081        
D2012025060919503     0214987123417280Û·¿ÌßÛÌ´ÝNA ¼ÞÖ³ 60M  PTP   60MG    100T00002000000900000001800000010102707  H40279       
D2012025060919503     0314987123161909ÒÙ¶¿Þ-Ù ¼ÞÖ³ 2.5MG    PTP  2.5MG    100T00001000000918000000918000010102708  Y030A        
D2012025060919503     0414987080034711¾ÝÉ¼ÄÞ ¼ÞÖ³ 12MG ¢»Ü  PTP   12MG    100T00001000000478000000478000005302811  724Y11       
D2012025060919503     0514987286105239¾È¶Þ ¼ÛÂÌß ¢¹Ý´-£                  500ML00001000000816000000816000008952902  5F05         
