S20902690019 05262978170000250303120002128128          0526297817                                                               
D201202503032892996   0114987376097819¸ÛËßÄÞ¸ÞÚÙ¼ÞÖ³75MG¢SANIK£PTP 100T       00001000003188000003188000035502609  4K642A       
D201202503032892996   0214987376357111Á»ÞÆ¼ÞÝ¼ÞÖ³1MG¢ÆÁ²º³£ PTP    100T       00001000000536000000536000005902706  J00400       
D201202503032892997   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000517000000517000005702709  2427         
D201202503032892998   0114987376305617ËßÙÌ´ÆÄÞÝ ¼ÞÖ³200MG¢ÆÁ²º³£PTP100T       00003000013971000041913000154902709  J00700       
D201202503032892998   0214987243319600ÚÎÞ¶ÊÞ½ÁÝ´Ý»ÝÃÝ¶ÞÝ´·5ML      10²Ø       00001000002249000002249000024752707  4776         
E200000070000052503031200                                                                                                       
S20902020014 05262978171039250303140323128128          0526297817                                                               
D201202503030890468   0114987060310422´ÌßÚÚÉÝ¼ÞÖ³25MG¢·Ö-Ø  25MG PTP      100T00001000001049000001049000011702710  F016         
D201202503030890468   0214987081185481¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³10MG¢DS  10MG PTP      100T00001000000879000000879000010102704  W7A0143      
D201202503030890468   0314987413300612¼ÞÔÃÞ²±Ý½¼ÞÖ³10MG     10MG PTP      100T00001000016293000016293000188902703  489436       
D201202503030890468   0414987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000009578000009578000111502606  Y018318      
D201202503030890468   0514987916002211ÀÑ½Û¼Ý´Ý»Ý´ÝOD¼ÞÖ³0. 0.2MG PTP      140T00001000002205000002205000023662707  01395        
D201202503030890469   0114987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002394000002394000026882704  489040       
D201202503030890469   0214987080002215ËßÀÊÞ½ÀÁÝCA¼ÞÖ³4MG¢»   4MG PTP      100T00001000002672000002672000030202708  424801       
D201202503030890469   0314987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000953000000953000010702705  20185        
D201202503030890469   0414987081182664Û»ÙÀÝK¼ÞÖ³25MG¢DSEP£  25MG PTP      100T00001000000980000000980000010902706  B3A0133      
D201202503030890470   0114987128305216ÏÝ¼ÞÔÛË¶ÁÕ³5MG±Ãµ½         5MG0.5MLX2·ÂÄ00002000006856000013712000076962603  D773374AA    
D201202503030890470   0214987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003173000006346000035622610  PP5M275      
D201202503030890681   0114987413580717ÚÝÄÞÙÐÝ¼ÞÖ³0.25MG   0.25MG PTP      100T00001000001038000001038000012502603  489012       
D201202503030890682   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972612  5A12SL       
D201202503030890682   0214987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000460000000460000005102810  724904       
D201202503030890682   0314987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00002000000863000001726000009802710  K240171      
D201202503030890801   0114987128006496ÃÞÊß½¼ÞÖ³0.5MG       0.5MG PTP      100T00001000000835000000835000009202705  J604         
D201202503030890801   0214987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102707  J810         
D201202503030890802   0114987028205630ÃÞ´ËÞºÞ¼ÞÖ³5MG         5MG PTP      100T00001000007217000007217000082702708  4XA82K       
D201202503030890803   0114987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00001000000493000000493000005702707  IH4R         
D201202503030890803   0214987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003145000003145000034612704  X24371       
D201202503030890803   0314987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004315000004315000051002703  P0506        
D201202503030890803   0414987155786057µÒÌß×¿Þ-Ù¼ÞÖ³20MG¢Ä-  20MG PTP      100T00001000002049000002049000022902712  D0087        
D201202503030890803   0514987440442019¸´ÝÒÂÄÊ²ºÞ³¼ÞÖ³            PTP      100T00001000000536000000536000005902707  4154         
