S20902020014 05262978172907250128050243128128          0526297817                                                               
D201202501280780634   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102707  J809         
D201202501280780634   0214987413580717ÚÝÄÞÙÐÝ¼ÞÖ³0.25MG   0.25MG PTP      100T00001000001038000001038000012502603  489010       
D201202501280780635   0114987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004315000004315000051002703  P0503        
D201202501280780635   0214987925106603¾Û¹ÝL¼ÞÖ³120MG       120MG PTP      100T00001000006588000006588000073602701  03540        
D201202501280780635   0314987138800749ÂÑ×007ÊÁÐ¼Þµ³¶ÞÝ           (7) 2.5GX3X1400002000000935000001870000010292711  X41301       
D201202501280780635   0414987413660624Ð¶ÙÃÞ²½¼ÞÖ³40MG       40MG PTP      140T00001000004439000004439000053482611  489007       
D201202501280780635   0514987028253358ÒØ½ÛÝ¼ÞÖ³6MG           6MG PTP      100T00001000000761000000761000008702704  47A32K       
D201202501280780636   0114987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00001000001230000001230000013852709  5835         
D201202501280780643   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202708  P2426        
D201202501280780643   0214987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000525000000525000005902706  50246        
D201202501280780643   0314987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00001000000863000000863000009802710  K240171      
D201202501280780877   0114987128006496ÃÞÊß½¼ÞÖ³0.5MG       0.5MG PTP      100T00001000000835000000835000009202705  J601         
D201202501280780878   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202708  P2426        
D201202501280780878   0214987081189458´¾ÞÁÐÌÞ¼ÞÖ³10MG¢DSEP  10MG PTP      100T00001000003029000003029000034002701  Y014269      
D201202501280780878   0314987086533485¹ÄÌßÛÌ´ÝÃ-Ìß20MG¢»ÝÜ    7X10CM    7Ï²X1000001000000752000000752000008612607  4N12SS       
D201202501280780878   0414987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00002000000918000001836000010102710  Y24K06       
D201202501280780878   0514987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005345000005345000060002709  GH4T         
D201202501280780879   0114987222682152ËÞ×É±¼ÞÖ³20MG         20MG PTP      100T00001000004590000004590000053202703  4C83B        
D201202501280780879   0214987084313997ËßÚÉ·¼Ý¹ÝÀÞ¸¾²ÃÝ¶ÞÝ´    0.005%  5MLX10ÎÝ00001000000571000000571000006492707  KRU1013      
D201202501280780879   0314987155593020Û»ÙÀÝK¼ÞÖ³100MG¢Ä-Ü£ 100MG PTP      100T00001000002732000002732000031402904  A0089        
D201202501280780879   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402701  84040        
D201202501280780895   0114987080190011´Á¿Þ×Ñ¼ÞÖ³0.5MG¢SW£  0.5MG PTP      100T00001000000582000000582000006402710  524801       
D201202501280780896   0114987042372059²Ä×ºÅ¿Þ-Ù¼ÞÖ³50MG¢¶¹  50MG PTP      100T00001000006237000006237000068902705  F41900       
D201202501280780896   0214987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003595000003595000041802608  11530        
D201202501280780896   0314987080398011´ËßÅ½ÁÝ´Ý»Ý´Ý¼ÞÖ³20M  20MG PTP      100T00001000001754000001754000019302707  524502       
D201202501280780896   0414987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000510000000510000005702704  724402       
D201202501280780896   0514987081186556ÃÙÐ»ÙÀÝ¼ÞÖ³80MG¢DSEP  80MG PTP      100T00001000002530000002530000028402702  489006       
D201202501280780897   0114987919103038ÃÞ²Ú¸Þ×Ê²ºÞ³¼ÞÖ³           PTP      100T00001000002784000002784000030702610  4K354A       
D201202501280780897   0214987080038313ÆÙÊÞ¼ÞËßÝ¼ÞÖ³4MG¢»Ü²   4MG PTP      100T00001000000899000000899000010102709  524601       
D201202501280780897   0314987155067132ÍÞÝ½ÞÌÞÛÏÛÝ¼ÞÖ³50MG¢  50MG PTP      100T00001000000531000000531000005902910  A0329        
D201202501280780897   0410383017013639Ï²¸ÛÌ±²ÝÌß×½ 32GX4MM    320136      70ÎÝ00001000001300000001300000000002905314135031      
D201202501280780897   0514987028266563ÒÁºÊÞ-Ù¼ÞÖ³500UG     500UG PTP      210T00001000001926000001926000021212702  45A07P       
D201202501280780898   0114987087003703ØÝÃÞÛÝ-V¸Ø-Ñ0.12%        0.12%   5GX10²Ø00001000000826000000826000009302807  5338         
D201202501280780898   0214987770598202ÚÐ¶ÂÄ¶Ìß¾Ù2MG          2MG PTP    100CAP00001000002133000002133000024802612  RV4E         
D201202501280780899   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00003000004874000014622000054982603  D758969AA    
D201202501280780918   0114987476158700ÊßÝÃÁÝ¼ÞÖ³100MG¢YD£  100MG PTP      100T00002000000518000001036000005702708  Y24N01       
D201202501280781610   0114987901063005½ÏÄØÌßÀÝ¼ÞÖ³50MG¢VTR  50MG PTP       12T00002000001129000002258000012682703  LN2465       
D201202501280781903   0114987901110204±ÐÃ²-»Þ¶Ìß¾Ù24UG      24UG PTP    100CAP00001000008908000008908000100002806  L546DG       
D201202501280781903   0214987080037712¹ÄÁÌ´Ý¶Ìß¾Ù1MG¢»Ü²£    1MG PTP    100CAP00001000000530000000530000005902706  124602       
D201202501280781903   0314987222682152ËÞ×É±¼ÞÖ³20MG         20MG PTP      100T00001000004590000004590000053202703  4C83B        
D201202501280782332   0114987117630015ËÞ×É±¼ÞÖ³20MG         20MG PTP      100T00001000004590000004590000053202706  4F83A        
D201202501280782332   0214987770510501ÃÞÍÞÙ»Þ¼ÞÖ³20MG       20MG PTP      100T00001000013955000013955000164102704  GX4I         
D201202501280782332   0314987084319548±Ú¼ÞµÝ¶ÞÝ¹Ý¸Ø-Ñ0.5%       0.5%2GÁÕ-ÌÞ²ØX00001000029990000029990000337342609  AEC0007      
E200000450000432501280502                                                                                                       
S20901660013 05262978170000250127220421128128          0526297817                                                               
D2012025012839980     0114987123158831ÒÙ¶¿Þ-Ù ¼ÞÖ³ 5MG      PTP    5MG    100T00001000000890000000890000009802706  Y553A        
D2012025012839980     0214987123001175¼ÞÙÑÛ Ê²ºÞ³¼ÞÖ³ HD ¢  PTP           100T00001000002614000002614000031302703  560870       
D2012025012839980     0314987376086011ÊßÝÃÁÝ ¼ÞÖ³ 100MG ¢Y  PTP  100MG    100T00002000000518000001036000005702607  IHK221       
D2012025012839980     0414987123416603ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.2£ PTP  0.2MG    100T00001000000851000000851000010102705  KF041        
D2012025012839980     0514987123871051´ÍßØ¿ÞÝ´Ý»Ý´Ý ¼ÞÖ³ 5  PTP   50MG    100T00001000000526000000526000005902709  H40515       
D2012025012839980     0614987376349901¿ØÌ´Å¼ÝºÊ¸»Ý´ÝOD ¼ÞÖ£ PTP    5MG    100T00001000003322000003322000037302602  24002R1      
D2012025012839980     0714987123144049ÍÞ²½Ý OD ¼ÞÖ³ 0.2     PTP  0.2MG    100T00001000001426000001426000016002704  KE021        
D2012025012839980     0814987123136297±¸Ä½ ¼ÞÖ³ 30          PTP   30MG    100T00001000004508000004508000050602611  JM011        
D2012025012839981     0114987123000949±²×ÐÄÞ Ê²ºÞ³¹ÝÀÞ¸¾²                5MLX500001000009838000009838000110422703  G126         
D2012025012839982     01149871231391822MG ¾Ù¼Ý ¼ÞÖ³         PTP    2MG    100T00001000000535000000535000006002912  KG011        
D2012025012839982     0214987058231289¼Þ±¾ÞÊßÑ ¼ÞÖ³ 2MG ¢±  PTP    2MG    100T00001000000483000000483000005702708  2426         
D2012025012839983     0114987058565032ÌÙÆÄ×¾ÞÊßÑ ¼ÞÖ³ 1MG   PTP    1MG    100T00001000000500000000500000005702707  2423         
