S20901660013 05262978170000250519100120128128          0526297817                                                               
D2012025051933743     0114987123158831ÒÙ¶¿Þ-Ù ¼ÞÖ³ 5MG      PTP    5MG    100T00001000000918000000918000010102709  Y575A        
D2012025051933743     0214987081186907Û½ÊÞ½ÀÁÝ ¼ÞÖ³ 2.5MG   PTP  2.5MG    100T00002000000945000001890000010402704  88140        
D2012025051933743     0314987443384446´ÝÚ½Ä ¼ÞÖ³ 200MG      PTP  200MG    100T00001000016766000016766000188202710  P0724        
D2012025051933743     0414987116530170´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ HD    PTP           100T00001000004143000004143000046502710  P2530        
D2012025051933743     0514987476113310Ä×È·»Ñ»Ý ¼ÞÖ³ 250MG   PTP  250MG    100T00001000000945000000945000010402711  Y24L24       
D2012025051933743     0614987185809900¼ÞÔÇËÞ± ¼ÞÖ³ 50MG (¶  PTP   50MG    100T00002000007315000014630000082102608  Z003224      
D2012025051933743     0714987233105343½-¼ÞÔÇ Ê²ºÞ³¼ÞÖ³      PTP           100T00001000015929000015929000178802706  24082M1      
D2012025051933743     0814987116530323ÒÄÎÙÐÝ´Ý»Ý´Ý ¼ÞÖ³ 25£ PTP  250MG   1000T00001000009265000009265000104002707  6858C        
D2012025051933744     0114987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00003000000926000002778000010402709  KK051        
D2012025051933744     0214987081187331ØÊÞ-Û·»ÊÞÝ ¼ÞÖ³ 15MG  PTP   15MG    100T00001000020197000020197000226702707  JPS8119      
D2012025051933744     0314987233102878½-¸Þ× ¼ÞÖ³ 50MG       PTP   50MG    100T00001000014487000014487000162602706  24064Y1      
D2012025051933744     0414987080030416³Ù¿ÃÞµ·¼º-Ù»Ý ¼ÞÖ³ 1  PTP  100MG    100T00003000000945000002835000010402712  B24Z02       
D2012025051933744     0514987081185719Ì´ÌÞ·¿½ÀÂÄ ¼ÞÖ³ 10MG  PTP   10MG    100T00001000000554000000554000006102709  50271        
D2012025051933744     0614987116530132´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ LD    PTP           100T00001000004205000004205000047202710  P0516        
D2012025051933744     0714987413870511Ä×¾ÞÝÀ ¼ÞÖ³ 5MG       PTP    5MG    100T00001000010594000010594000118902801  589023       
D2012025051933744     0814987080396017±ÛÌßØÉ-Ù ¼ÞÖ³ 100MG   PTP  100MG    100T00001000000718000000718000008002706  B24613       
D2012025051933745     0114987376097819¸ÛËßÄÞ¸ÞÚÙ ¼ÞÖ³ 75MG  PTP   75MG    100T00001000002900000002900000031902702  5K681A       
D2012025051933745     0214987222682152ËÞ×É± ¼ÞÖ³ 20MG (Ò²¼  PTP   20MG    100T00001000004339000004339000048702706  4F88A        
D2012025051933745     0314987901129800ÄÞ·»¿Þ¼Ý ¼ÞÖ³ 1MG ¢V  PTP    1MG    100T00001000000926000000926000010402706  LK9480       
D2012025051933745     0414987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý ¼ÞÖ³ 25£ PTP  250MG    100T00002000000927000001854000010402707  6842C        
D2012025051933745     0514987087003871ØÝÃÞÛÝ VG ¸Ø-Ñ 0.12%               5GX1000001000001234000001234000013852711  5846         
D2012025051933745     0614987081189960Û·¿ÌßÛÌ´Ý NA Ã-Ìß 10  10CMX14CM   7Ï²X1000003000001098000003294000012322801  20325        
D2012025051933745     0714987081189939Û·¿ÌßÛÌ´Ý NA Ã-Ìß 50  7CMX10CM    7Ï²X1000001000000792000000792000008892802  30325        
D2012025051933746     0114987080190011´Á¿Þ×Ñ ¼ÞÖ³ 0.5MG ¢S  PTP  0.5MG    100T00001000000598000000598000006602802  524Y04       
E200000260000242505191001                                                                                                       
