S20902690019 05262978170000250704120002128128          0526297817                                                               
D201202507049558580   0114987123001564½¸×ÙÌ±°ÄÅ²Ö³´·10%¢NIG£   10MLX210       00001000003245000003245000035702712  KM041        
D201202507049558580   0214987376056212ÄºÌ´Û°ÙÆºÁÝ»Ý´½ÃÙ¶Ìß¾Ù200MG 100CP       00001000000681000000681000007502711  KP1401       
D201202507049558580   0314987123407915Ì±ÓÁ¼ÞÝOD¼ÞÖ³20MG¢ÃÊÞ£ PTP   100T       00001000000944000000944000010402712  H70345       
D201202507049558580   0414987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý¼ÞÖ³6MG¢ÆÁ²ºPT 100T       00001000000572000000572000006302709  K05400       
D201202507049558580   0514987123416627ÎÞ¸ÞØÎÞ°½OD¼ÞÖ³0.3MG¢À¹ÀÞÃÊÞ£100T       00001000000942000000942000010402709  KK111        
D201202507049558581   0114987123417280Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢À¹ÀÞÃÊÞ£ 100T       00001000000917000000917000010102707  H40291       
D201202507049558581   0214987376085519Û»ÙËÄÞÊ²ºÞ³¼ÞÖ³LD¢ÆÁ²º³£PTP  100T       00001000001581000001581000017402705  J00300       
D201202507049558583   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902801  2446         
D201202507049558583   0214987058566039ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³2MG±ÒÙPTP2MG   100T       00001000000554000000554000006102712  2445         
E200000110000092507041200                                                                                                       
