S20902020014 05262978173116250204050248128128          0526297817                                                               
D201202502040797872   0114987155165265¾Ì¶ÍßÝËßÎÞ·¼Ù´Ý»Ý´Ý¼ 100MG PTP      500T00001000012444000012444000137002707  A00350       
D201202502040797880   0114987155165265¾Ì¶ÍßÝËßÎÞ·¼Ù´Ý»Ý´Ý¼ 100MG PTP      500T00001000012444000012444000137002707  A00350       
D201202502040798217   0114987080396017±ÛÌßØÉ-Ù¼ÞÖ³100MG¢»Ü 100MG PTP      100T00001000000709000000709000007802705  B24411       
D201202502040798217   0214987060310422´ÌßÚÚÉÝ¼ÞÖ³25MG¢·Ö-Ø  25MG PTP      100T00001000001068000001068000011702709  F014         
D201202502040798217   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402705  24048Y1      
D201202502040798217   0414987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004040000004040000050502709  4I90RT1      
D201202502040798439   0114987128006502ÃÞÊß½¼ÞÖ³1MG           1MG PTP      100T00001000000896000000896000010102703  J515         
D201202502040798440   0114987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00001000000493000000493000005702705  IF4R         
D201202502040798440   0214987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001798000001798000020702706  D0687        
D201202502040798440   0314987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000015108000015108000171102706  P0628        
D201202502040798440   0414987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402705  24048Y1      
D201202502040798440   0514987128148127Ò²ÝÃ-Ä¼ÞÖ³2.5MG      2.5MG PTP      100T00001000001434000001434000016502611  H515A        
D201202502040798441   0114987954801906ØÎßÊÞ½¼ÞÖ³5            5MG PTP      100T00001000002400000002400000026802704  Y010056      
D201202502040798441   0214987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý¶Ìß¾Ù1M   1MG PTP    100CAP00001000000530000000530000005902710  124X02       
D201202502040798442   0114987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ00001000009672000009672000108792703  PP5M167      
E200000170000152502040502                                                                                                       
S20902960013 05262978170000250204060020128128          0526297817                                                               
D2012025020416006312631014987274129148É²´Ù¶Ìß¾Ù200MG H 100P                   0000100000079200000079200000880270430KZA0317      
E200000030000012502040600                                                                                                       
S20901660013 05262978170000250203220344128128          0526297817                                                               
D2012025020402737     0114987376075312ËÞ¿ÌßÛÛ-ÙÌÏÙ»Ý´Ý ¼ÞÖ²º³£ PTP 2.5MG  100T00001000000900000000900000010102709  J01500       
D2012025020402737     0214987123159036·ÔÌÞËßØÝ Ê²ºÞ³¼ÞÖ³    PTP           100T00001000008760000008760000098402609  557481       
E200000040000022502032203                                                                                                       
